state_police,county_police,number_police,foreign_police
Alabama,Autauga,64,Alabama Autauga
Alabama,Baldwin,271,Alabama Baldwin
Alabama,Bibb,12,Alabama Bibb
Alabama,Blount,49,Alabama Blount
Alabama,Bullock,14,Alabama Bullock
Alabama,Butler,12,Alabama Butler
Alabama,Calhoun,57,Alabama Calhoun
Alabama,Chambers,55,Alabama Chambers
Alabama,Cherokee,42,Alabama Cherokee
Alabama,Chilton,167,Alabama Chilton
Alabama,Clarke,39,Alabama Clarke
Alabama,Clay,28,Alabama Clay
Alabama,Cleburne,27,Alabama Cleburne
Alabama,Coffee,43,Alabama Coffee
Alabama,Colbert,55,Alabama Colbert
Alabama,Coosa,22,Alabama Coosa
Alabama,Covington,27,Alabama Covington
Alabama,Crenshaw,10,Alabama Crenshaw
Alabama,Cullman,135,Alabama Cullman
Alabama,Dale,40,Alabama Dale
Alabama,Dallas,50,Alabama Dallas
Alabama,De Kalb,103,Alabama De Kalb
Alabama,Elmore,88,Alabama Elmore
Alabama,Escambia,64,Alabama Escambia
Alabama,Etowah,156,Alabama Etowah
Alabama,Franklin,47,Alabama Franklin
Alabama,Geneva,27,Alabama Geneva
Alabama,Greene,29,Alabama Greene
Alabama,Hale,11,Alabama Hale
Alabama,Henry,15,Alabama Henry
Alabama,Houston,95,Alabama Houston
Alabama,Jackson,81,Alabama Jackson
Alabama,Jefferson,655,Alabama Jefferson
Alabama,Lamar,20,Alabama Lamar
Alabama,Lauderdale,44,Alabama Lauderdale
Alabama,Lawrence,48,Alabama Lawrence
Alabama,Lee,154,Alabama Lee
Alabama,Limestone,102,Alabama Limestone
Alabama,Lowndes,39,Alabama Lowndes
Alabama,Macon,38,Alabama Macon
Alabama,Madison,342,Alabama Madison
Alabama,Marengo,24,Alabama Marengo
Alabama,Marshall,71,Alabama Marshall
Alabama,Mobile,483,Alabama Mobile
Alabama,Monroe,53,Alabama Monroe
Alabama,Montgomery,177,Alabama Montgomery
Alabama,Morgan,185,Alabama Morgan
