state,fips,county_name,unemployment_rate_2010,population_total_2010,urban_population_prc,rural_population_prc,crime_per_capita,per_capita_sme_num,per_capita_large_num,avg_ann_pay_per_emp_sme,avg_ann_pay_per_emp_large,avg_ann_pay_per_emp_total,population_jail_prc,2008_dem_%_vote,2008_rep_%_vote,2008_other_%_vote,smoke_percent_2010,popul_hs_grad_prc,popul_college_grad_prc,popul_single_paren_prc,liquor_stores_per10k,foreign_key
AL,1001,Autauga,8.8,"54,571",0.579978377,0.420021623,0.002620439,0.012259259,0.002565465,22667.03037,31792.20223,26856.69322,0.002913635,0.257730214,0.736136373,0.006133412,25.77,72,21,9,0.4,Alabama Autauga
AL,1003,Baldwin,9.9,"182,265",0.577209009,0.422790991,0.002112309,0.020108084,0.002019038,28664.84962,29390.96748,28943.22956,0.004030066,0.238119219,0.752594794,0.009285986,22.97,67,26,9,0.8,Alabama Baldwin
AL,1005,Barbour,12.1,"27,457",0.322103653,0.677896347,0.000910515,0.015041702,0.002585862,25720.31403,31442.48955,29142.03051,0.0037149,0.489853826,0.504385211,0.005760963,26.83,56,11,14,1.1,Alabama Barbour
AL,1007,Bibb,11.2,"22,915",0.316473925,0.683526075,0.002574733,0.011171722,0.00091643,27318.29733,30995.42334,32141.14833,0.002891119,0.265964831,0.724433133,0.009602036,30.11,60,11,5,0.5,Alabama Bibb
AL,1009,Blount,9.7,"57,322",0.10048498,0.89951502,0.000418687,0.010484631,0.001081609,26050.59382,28186.23482,26788.59008,0.00216758,0.145135369,0.840194503,0.014670128,27.89,73,12,7,0,Alabama Blount
AL,1011,Bullock,11.7,"10,914",0.486256185,0.513743815,0.002290636,0.00943742,0.001282756,25538.29079,,23932.61719,0.003010812,0.740720222,0.25687904,0.002400739,27.99,64,9,18,0.9,Alabama Bullock
AL,1013,Butler,13.4,"20,947",0.287678427,0.712321573,0.003150809,0.015563088,0.003580465,27202.56233,25225.62358,26257.3184,0.002980379,0.431352353,0.564939747,0.0037079,28.27,69,12,10,0.5,Alabama Butler
AL,1015,Calhoun,11.2,"118,572",0.663031744,0.336968256,0.004309618,0.015045711,0.002285531,27623.4168,35176.55667,31674.40665,0.00426222,0.331708704,0.65691889,0.011372406,28.61,65,17,10,0.6,Alabama Calhoun
AL,1017,Chambers,14.6,"34,215",0.508519655,0.491480345,0.003127283,0.014233523,0.001636709,27426.2218,32679.06482,29036.81981,0.004146719,0.45460016,0.539382188,0.006017652,29.46,64,10,9,0.9,Alabama Chambers
AL,1019,Cherokee,10.5,"25,989",0.14263727,0.85736273,0.003232137,0.011158567,0.001577591,25802.41493,,28851.99077,0.003270614,0.236634171,0.74889687,0.014468958,26.06,68,8,9,0.4,Alabama Cherokee
AL,1021,Chilton,10.1,"43,643",0.132552758,0.867447242,0.004903421,0.014229086,0.00158101,24580.77879,33099.06639,27011.69331,0.004009807,0.206578577,0.784931122,0.008490301,28.93,71,10,8,0.7,Alabama Chilton
AL,1023,Choctaw,13,"13,859",0,1,0.001298795,0.016595714,0.001731727,27197.17314,68564.43485,47689.01569,0.002029006,0.46060299,0.534963263,0.004433747,23.24,66,11,11,1.4,Alabama Choctaw
AL,1025,Clarke,19.5,"25,833",0.240196648,0.759803352,0.004529091,0.019238958,0.002554872,28078.7068,39955.14383,31805.53856,0.00429683,0.440193524,0.555712691,0.004093785,24.25,66,13,8,1.1,Alabama Clarke
AL,1027,Clay,14.2,"13,932",0,1,0.002009762,0.011986793,0.001363767,21825.99689,33780.26534,26421.74052,0.007003302,0.258102361,0.730898959,0.01099868,30.42,62,9,8,0,Alabama Clay
AL,1029,Cleburne,9.8,"14,972",0,1,0.002604862,0.010219076,0.000868287,34898.19495,30568.30601,33669.07963,0.004933209,0.17991374,0.8034504,0.01663586,29.04,68,10,7,2.1,Alabama Cleburne
AL,1031,Coffee,8.5,"49,948",0.528049171,0.471950829,0.003623769,0.01729799,0.002042124,27174.05105,25239.59572,26399.7779,0.00292304,0.252335056,0.74120628,0.006458665,24.22,78,20,11,0.7,Alabama Coffee
AL,1033,Colbert,11.3,"54,428",0.561053134,0.438946866,0.002333358,0.018538252,0.002700816,32964.20745,32478.99528,32727.64706,0.002012751,0.390572797,0.593285835,0.016141368,26.18,68,16,7,2,Alabama Colbert
AL,1035,Conecuh,16.9,"13,228",0.190504989,0.809495011,0.005140611,0.01330511,0.002192319,29700.53476,25649.51768,29356.68062,0.004819323,0.493878727,0.499783955,0.006337318,27.78,57,10,12,2.2,Alabama Conecuh
