,state,county_name,unemployment_rate_2010,population_total_2010,urban_population_prc,rural_population_prc,crime_per_capita,per_capita_sme_num,per_capita_large_num,avg_ann_pay_per_emp_sme,avg_ann_pay_per_emp_large,avg_ann_pay_per_emp_total,population_jail_prc,2008_dem_%_vote,2008_rep_%_vote,2008_other_%_vote,smoke_percent_2010,popul_hs_grad_prc,popul_college_grad_prc,popul_single_paren_prc,liquor_stores_per10k,police_per_1000,WhiteNonHispanicPct2010,BlackNonHispanicPct2010,AsianNonHispanicPct2010,NativeAmericanNonHispanicPct2010,HispanicPct2010,MultipleRacePct2010,popul_single_paren_prc_unemployment_rate_2010,AsianNonHispanicPct2010_population_total_2010,rural_population_prc_urban_population_prc,avg_ann_pay_per_emp_large_urban_population_prc,avg_ann_pay_per_emp_total_urban_population_prc,popul_college_grad_prc_urban_population_prc,AsianNonHispanicPct2010_urban_population_prc,urban_population_prc_rural_population_prc,liquor_stores_per10k_per_capita_sme_num,avg_ann_pay_per_emp_total_avg_ann_pay_per_emp_sme,AsianNonHispanicPct2010_avg_ann_pay_per_emp_sme,urban_population_prc_avg_ann_pay_per_emp_large,avg_ann_pay_per_emp_total_avg_ann_pay_per_emp_large,urban_population_prc_avg_ann_pay_per_emp_total,avg_ann_pay_per_emp_sme_avg_ann_pay_per_emp_total,avg_ann_pay_per_emp_large_avg_ann_pay_per_emp_total,popul_college_grad_prc_avg_ann_pay_per_emp_total,AsianNonHispanicPct2010_avg_ann_pay_per_emp_total,2008_rep_%_vote_2008_dem_%_vote,2008_dem_%_vote_2008_rep_%_vote,popul_college_grad_prc_smoke_percent_2010,popul_single_paren_prc_popul_hs_grad_prc,WhiteNonHispanicPct2010_popul_hs_grad_prc,urban_population_prc_popul_college_grad_prc,avg_ann_pay_per_emp_total_popul_college_grad_prc,smoke_percent_2010_popul_college_grad_prc,AsianNonHispanicPct2010_popul_college_grad_prc,unemployment_rate_2010_popul_single_paren_prc,popul_hs_grad_prc_popul_single_paren_prc,WhiteNonHispanicPct2010_popul_single_paren_prc,BlackNonHispanicPct2010_popul_single_paren_prc,per_capita_sme_num_liquor_stores_per10k,popul_hs_grad_prc_WhiteNonHispanicPct2010,popul_single_paren_prc_WhiteNonHispanicPct2010,BlackNonHispanicPct2010_WhiteNonHispanicPct2010,HispanicPct2010_WhiteNonHispanicPct2010,popul_single_paren_prc_BlackNonHispanicPct2010,WhiteNonHispanicPct2010_BlackNonHispanicPct2010,population_total_2010_AsianNonHispanicPct2010,urban_population_prc_AsianNonHispanicPct2010,avg_ann_pay_per_emp_sme_AsianNonHispanicPct2010,avg_ann_pay_per_emp_total_AsianNonHispanicPct2010,popul_college_grad_prc_AsianNonHispanicPct2010,WhiteNonHispanicPct2010_HispanicPct2010
0,AL,Autauga,8.8,54571.0,0.579978377,0.420021623,0.002620439,0.012259259,0.002565465,22667.03037,31792.20223,26856.69322,0.002913635,0.257730214,0.736136373,0.006133412,25.77,72.0,21.0,9.0,0.4,1.1727840794561215,77.25,17.58,0.86,0.4,2.4,1.59,79.2,46931.06,0.24360345921244586,18438.78985061118,15576.301345322505,12.179545917,0.49878140422,0.24360345921244586,0.0049037036,608761480.8555131,19493.6461182,18438.78985061118,853833422.0793099,15576.301345322505,608761480.8555131,853833422.0793099,563990.55762,23096.7561692,0.18972458494647385,0.18972458494647385,541.17,648.0,5562.0,12.179545917,563990.55762,541.17,18.06,79.2,648.0,695.25,158.21999999999997,0.0049037036,5562.0,695.25,1358.0549999999998,185.4,158.21999999999997,1358.0549999999998,46931.06,0.49878140422,19493.6461182,23096.7561692,18.06,185.4
1,AL,Baldwin,9.9,182265.0,0.577209009,0.422790991,0.002112309,0.020108084,0.002019038,28664.84962,29390.96748,28943.22956,0.004030066,0.238119219,0.752594794,0.009285986,22.97,67.0,26.0,9.0,0.8,1.4868460757687982,83.5,9.31,0.74,0.63,4.38,1.49,89.10000000000001,134876.1,0.24403876892923795,16964.73121268203,16706.292851587106,15.007434234000002,0.42713466666000005,0.24403876892923795,0.0160864672,829653322.8545388,21211.9887188,16964.73121268203,850669518.7641346,16706.292851587106,829653322.8545388,850669518.7641346,752523.96856,21417.9898744,0.17920728457074586,0.17920728457074586,597.22,603.0,5594.5,15.007434234000002,752523.96856,597.22,19.24,89.10000000000001,603.0,751.5,83.79,0.0160864672,5594.5,751.5,777.385,365.73,83.79,777.385,134876.1,0.42713466666000005,21211.9887188,21417.9898744,19.24,365.73
2,AL,Bibb,11.2,22915.0,0.316473925,0.683526075,0.002574733,0.011171722,0.00091643,27318.29733,30995.42334,32141.14833,0.002891119,0.265964831,0.724433133,0.009602036,30.11,60.0,11.0,5.0,0.5,0.52367444905084,75.02,21.92,0.1,0.28,1.77,0.89,56.0,2291.5,0.21631817979509435,9809.24328144641,10171.835366002295,3.4812131749999997,0.0316473925,0.21631817979509435,0.005585861,878041446.606573,2731.8297330000005,9809.24328144641,996228499.122084,10171.835366002295,878041446.606573,996228499.122084,353552.63163,3214.114833,0.19267373578914554,0.19267373578914554,331.21,300.0,4501.2,3.4812131749999997,353552.63163,331.21,1.1,56.0,300.0,375.09999999999997,109.60000000000001,0.005585861,4501.2,375.09999999999997,1644.4384,132.78539999999998,109.60000000000001,1644.4384,2291.5,0.0316473925,2731.8297330000005,3214.114833,1.1,132.78539999999998
3,AL,Blount,9.7,57322.0,0.10048498,0.89951502,0.000418687,0.010484631,0.001081609,26050.59382,28186.23482,26788.59008,0.00216758,0.145135369,0.840194503,0.014670128,27.89,73.0,12.0,7.0,0.0,0.8548201388646594,88.89,1.26,0.2,0.5,8.07,1.19,67.89999999999999,11464.400000000001,0.0903877487943996,2832.293242163004,2691.850938416999,1.20581976,0.020096996000000002,0.0903877487943996,0.0,697858679.1845613,5210.118764,2832.293242163004,755069490.4916027,2691.850938416999,697858679.1845613,755069490.4916027,321463.08096000005,5357.718016000001,0.1219419392246766,0.1219419392246766,334.68,511.0,6488.97,1.20581976,321463.08096000005,334.68,2.4000000000000004,67.89999999999999,511.0,622.23,8.82,0.0,6488.97,622.23,112.0014,717.3423,8.82,112.0014,11464.400000000001,0.020096996000000002,5210.118764,5357.718016000001,2.4000000000000004,717.3423
4,AL,Butler,13.4,20947.0,0.287678427,0.712321573,0.003150809,0.015563088,0.003580465,27202.56233,25225.62358,26257.3184,0.002980379,0.431352353,0.564939747,0.0037079,28.27,69.0,12.0,10.0,0.5,0.5728743972883945,54.06,43.19,0.83,0.28,0.91,0.77,134.0,17386.01,0.20491954963880568,7256.867711588508,7553.664054550157,3.452141124,0.23877309441,0.20491954963880568,0.007781544,714266340.394656,22578.1267339,7256.867711588508,662357230.1786078,7553.664054550157,714266340.394656,662357230.1786078,315087.8208,21793.574271999998,0.24368808917167473,0.24368808917167473,339.24,690.0,3730.1400000000003,3.452141124,315087.8208,339.24,9.959999999999999,134.0,690.0,540.6,431.9,0.007781544,3730.1400000000003,540.6,2334.8514,49.1946,431.9,2334.8514,17386.01,0.23877309441,22578.1267339,21793.574271999998,9.959999999999999,49.1946
5,AL,Calhoun,11.2,118572.0,0.663031744,0.336968256,0.004309618,0.015045711,0.002285531,27623.4168,35176.55667,31674.40665,0.00426222,0.331708704,0.65691889,0.011372406,28.61,65.0,17.0,10.0,0.6,0.4807205748406032,73.61,20.39,0.7,0.4,3.28,1.67,112.0,83000.4,0.22342065044831846,23323.17371682493,21001.137081314697,11.271539648,0.46412222079999993,0.22342065044831846,0.0090274266,874955336.7856417,19336.39176,23323.17371682493,1114196560.5123498,21001.137081314697,874955336.7856417,1114196560.5123498,538464.91305,22172.084655,0.2179057136350186,0.2179057136350186,486.37,650.0,4784.65,11.271539648,538464.91305,486.37,11.899999999999999,112.0,650.0,736.1,203.9,0.0090274266,4784.65,736.1,1500.9079,241.4408,203.9,1500.9079,83000.4,0.46412222079999993,19336.39176,22172.084655,11.899999999999999,241.4408
6,AL,Chambers,14.6,34215.0,0.508519655,0.491480345,0.003127283,0.014233523,0.001636709,27426.2218,32679.06482,29036.81981,0.004146719,0.45460016,0.539382188,0.006017652,29.46,64.0,10.0,9.0,0.9,1.6074820984948122,58.14,38.6,0.49,0.17,1.57,1.13,131.4,16765.35,0.24992741547868094,16617.946767989037,14765.793592078366,5.085196549999999,0.24917463094999998,0.24992741547868094,0.0128101707,796370260.4756938,13438.848682,16617.946767989037,948896116.7376502,14765.793592078366,796370260.4756938,948896116.7376502,290368.19810000004,14228.0417069,0.2452032289659501,0.2452032289659501,294.6,576.0,3720.96,5.085196549999999,290368.19810000004,294.6,4.9,131.4,576.0,523.26,347.40000000000003,0.0128101707,3720.96,523.26,2244.204,91.27980000000001,347.40000000000003,2244.204,16765.35,0.24917463094999998,13438.848682,14228.0417069,4.9,91.27980000000001
7,AL,Chilton,10.1,43643.0,0.132552758,0.867447242,0.004903421,0.014229086,0.00158101,24580.77879,33099.06639,27011.69331,0.004009807,0.206578577,0.784931122,0.008490301,28.93,71.0,10.0,8.0,0.7,3.826501386247508,81.1,9.56,0.29,0.31,7.84,1.16,80.8,12656.47,0.11498252434659344,4387.372537219603,3580.4744464906485,1.32552758,0.038440299819999996,0.11498252434659344,0.009960360199999999,663968457.9964329,7128.425849099999,4387.372537219603,894061830.1740088,3580.4744464906485,663968457.9964329,894061830.1740088,270116.93309999997,7833.391059899999,0.1621499542257734,0.1621499542257734,289.3,568.0,5758.099999999999,1.32552758,270116.93309999997,289.3,2.9,80.8,568.0,648.8,76.48,0.009960360199999999,5758.099999999999,648.8,775.316,635.824,76.48,775.316,12656.47,0.038440299819999996,7128.425849099999,7833.391059899999,2.9,635.824
8,AL,Clarke,19.5,25833.0,0.240196648,0.759803352,0.004529091,0.019238958,0.002554872,28078.7068,39955.14383,31805.53856,0.00429683,0.440193524,0.555712691,0.004093785,24.25,66.0,13.0,8.0,1.1,1.50969689931483,53.97,43.67,0.29,0.37,1.05,0.68,156.0,7491.57,0.18250221828956412,9597.091618323882,7639.583749946747,3.1225564240000003,0.06965702792,0.18250221828956412,0.021162853800000003,893058391.8423343,8142.824971999999,9597.091618323882,1270794867.7554111,7639.583749946747,893058391.8423343,1270794867.7554111,413472.00128,9223.606182399999,0.24462112778281309,0.24462112778281309,315.25,528.0,3562.02,3.1225564240000003,413472.00128,315.25,3.7699999999999996,156.0,528.0,431.76,349.36,0.021162853800000003,3562.02,431.76,2356.8699,56.6685,349.36,2356.8699,7491.57,0.06965702792,8142.824971999999,9223.606182399999,3.7699999999999996,56.6685
9,AL,Clay,14.2,13932.0,0.0,1.0,0.002009762,0.011986793,0.001363767,21825.99689,33780.26534,26421.74052,0.007003302,0.258102361,0.730898959,0.01099868,30.42,62.0,9.0,8.0,0.0,2.0097616996841805,80.29,14.7,0.17,0.39,2.86,1.69,113.6,2368.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576680826.4179069,3710.4194713,0.0,892533405.5102295,0.0,576680826.4179069,892533405.5102295,237795.66468,4491.6958884000005,0.1886467469703422,0.1886467469703422,273.78000000000003,496.0,4977.9800000000005,0.0,237795.66468,273.78000000000003,1.53,113.6,496.0,642.32,117.6,0.0,4977.9800000000005,642.32,1180.2630000000001,229.6294,117.6,1180.2630000000001,2368.44,0.0,3710.4194713,4491.6958884000005,1.53,229.6294
