state,county_name,unemployment_rate_2010,population_total_2010,urban_population_prc,rural_population_prc,crime_per_capita,per_capita_sme_num,per_capita_large_num,avg_ann_pay_per_emp_sme,avg_ann_pay_per_emp_large,avg_ann_pay_per_emp_total,population_jail_prc,avg_2008-2012_vote_dem,avg_2008-2012_vote_drep,avg_2008-2012_vote_other,smoke_percent_2010,popul_hs_grad_prc,popul_college_grad_prc,popul_single_paren_prc,liquor_stores_per10k,police_per_1000,WhiteNonHispanicPct2010,BlackNonHispanicPct2010,AsianNonHispanicPct2010,NativeAmericanNonHispanicPct2010,HispanicPct2010,MultipleRacePct2010
AL,Autauga,8.8,54571.0,0.579978377,0.420021623,0.002620439,0.012259259,0.002565465,22667.03037,31792.20223,26856.69322,0.002913635,0.261804268,0.731159445,0.007036287,25.77,72.0,21.0,9.0,0.4,1.1727840794561215,77.25,17.58,0.86,0.4,2.4,1.59
AL,Baldwin,9.9,182265.0,0.577209009,0.422790991,0.002112309,0.020108084,0.002019038,28664.84962,29390.96748,28943.22956,0.004030066,0.227006831,0.763088745,0.009904424,22.97,67.0,26.0,9.0,0.8,1.4868460757687982,83.5,9.31,0.74,0.63,4.38,1.49
AL,Bibb,11.2,22915.0,0.316473925,0.683526075,0.002574733,0.011171722,0.00091643,27318.29733,30995.42334,32141.14833,0.002891119,0.263742511,0.726349583,0.009907906,30.11,60.0,11.0,5.0,0.5,0.52367444905084,75.02,21.92,0.1,0.28,1.77,0.89
AL,Blount,9.7,57322.0,0.10048498,0.89951502,0.000418687,0.010484631,0.001081609,26050.59382,28186.23482,26788.59008,0.00216758,0.13442722,0.852426669,0.013146111,27.89,73.0,12.0,7.0,0.0,0.8548201388646594,88.89,1.26,0.2,0.5,8.07,1.19
AL,Butler,13.4,20947.0,0.287678427,0.712321573,0.003150809,0.015563088,0.003580465,27202.56233,25225.62358,26257.3184,0.002980379,0.445983675,0.550319494,0.003696831,28.27,69.0,12.0,10.0,0.5,0.5728743972883945,54.06,43.19,0.83,0.28,0.91,0.77
AL,Calhoun,11.2,118572.0,0.663031744,0.336968256,0.004309618,0.015045711,0.002285531,27623.4168,35176.55667,31674.40665,0.00426222,0.333515463,0.655739641,0.010744897,28.61,65.0,17.0,10.0,0.6,0.4807205748406032,73.61,20.39,0.7,0.4,3.28,1.67
AL,Chambers,14.6,34215.0,0.508519655,0.491480345,0.003127283,0.014233523,0.001636709,27426.2218,32679.06482,29036.81981,0.004146719,0.462431146,0.530658858,0.006909996,29.46,64.0,10.0,9.0,0.9,1.6074820984948122,58.14,38.6,0.49,0.17,1.57,1.13
AL,Chilton,10.1,43643.0,0.132552758,0.867447242,0.004903421,0.014229086,0.00158101,24580.77879,33099.06639,27011.69331,0.004009807,0.200557643,0.791388937,0.00805342,28.93,71.0,10.0,8.0,0.7,3.826501386247508,81.1,9.56,0.29,0.31,7.84,1.16
AL,Clarke,19.5,25833.0,0.240196648,0.759803352,0.004529091,0.019238958,0.002554872,28078.7068,39955.14383,31805.53856,0.00429683,0.448744513,0.547511966,0.003743521,24.25,66.0,13.0,8.0,1.1,1.5096968993148299,53.97,43.67,0.29,0.37,1.05,0.68
AL,Clay,14.2,13932.0,0.0,1.0,0.002009762,0.011986793,0.001363767,21825.99689,33780.26534,26421.74052,0.007003302,0.262419538,0.726977549,0.010602913,30.42,62.0,9.0,8.0,0.0,2.0097616996841805,80.29,14.7,0.17,0.39,2.86,1.69
AL,Cleburne,9.8,14972.0,0.0,1.0,0.002604862,0.010219076,0.000868287,34898.19495,30568.30601,33669.07963,0.004933209,0.166959249,0.819806088,0.013234663,29.04,68.0,10.0,7.0,2.1,1.8033662837296285,93.21,3.3,0.15,0.33,2.05,1.07
AL,Coffee,8.5,49948.0,0.528049171,0.471950829,0.003623769,0.01729799,0.002042124,27174.05105,25239.59572,26399.7779,0.00292304,0.250724938,0.741518668,0.007756393,24.22,78.0,20.0,11.0,0.7,0.8608953311443902,72.34,16.53,1.26,1.21,6.37,2.5
AL,Colbert,11.3,54428.0,0.561053134,0.438946866,0.002333358,0.018538252,0.002700816,32964.20745,32478.99528,32727.64706,0.002012751,0.391266728,0.594611701,0.014121571,26.18,68.0,16.0,7.0,2.0,1.0105092966855296,79.62,15.99,0.41,0.48,2.01,1.55
AL,Covington,10.2,37765.0,0.30348206,0.69651794,0.002250761,0.018826956,0.002462598,27256.05774,31977.47265,29355.91603,0.005299616,0.20499564,0.788111242,0.006893119,29.74,69.0,14.0,9.0,1.9,0.7149477028995102,84.08,12.41,0.39,0.52,1.28,1.38
AL,Crenshaw,10.0,13906.0,0.0,1.0,0.002444988,0.01431037,0.001797785,28784.4682,35324.77341,31576.91067,0.002876456,0.31373664,0.680678569,0.005584791,27.23,65.0,12.0,10.0,0.7,0.7191140514885661,72.06,23.31,1.36,0.4,1.47,1.45
AL,Cullman,10.3,80406.0,0.267604408,0.732395592,0.001616795,0.017809616,0.001865532,30093.23107,31123.32802,30482.25044,0.003589782,0.156356489,0.830033657,0.013609854,27.61,74.0,13.0,8.0,0.0,1.6789791806581598,92.74,1.02,0.42,0.49,4.3,1.11
