FIPS_people,WhiteNonHispanicPct2010,BlackNonHispanicPct2010,AsianNonHispanicPct2010,NativeAmericanNonHispanicPct2010,HispanicPct2010,MultipleRacePct2010
1001,77.25,17.58,0.86,0.4,2.4,1.59
1003,83.5,9.31,0.74,0.63,4.38,1.49
1005,46.75,46.69,0.39,0.22,5.05,0.94
1007,75.02,21.92,0.1,0.28,1.77,0.89
1009,88.89,1.26,0.2,0.5,8.07,1.19
1011,21.92,69.97,0.18,0.18,7.12,0.79
1013,54.06,43.19,0.83,0.28,0.91,0.77
1015,73.61,20.39,0.7,0.4,3.28,1.67
1017,58.14,38.6,0.49,0.17,1.57,1.13
1019,92.07,4.64,0.19,0.47,1.23,1.49
1021,81.1,9.56,0.29,0.31,7.84,1.16
1023,55.56,43.22,0.09,0.13,0.53,0.42
1025,53.97,43.67,0.29,0.37,1.05,0.68
1027,80.29,14.7,0.17,0.39,2.86,1.69
1029,93.21,3.3,0.15,0.33,2.05,1.07
1031,72.34,16.53,1.26,1.21,6.37,2.5
1033,79.62,15.99,0.41,0.48,2.01,1.55
1035,51.13,46.28,0.13,0.33,1.22,1
1037,65.9,30.82,0.12,0.35,1.99,0.89
1039,84.08,12.41,0.39,0.52,1.28,1.38
1041,72.06,23.31,1.36,0.4,1.47,1.45
1043,92.74,1.02,0.42,0.49,4.3,1.11
1045,71.05,19,1.05,0.67,5.61,2.99
1047,28.93,69.18,0.33,0.18,0.71,0.68
1049,81.56,1.45,0.23,1.22,13.63,2.21
1051,74.96,19.94,0.65,0.34,2.68,1.44
1053,61.35,31.74,0.22,3.32,1.87,1.51
1055,79.28,15.05,0.63,0.36,3.3,1.48
1057,86.03,11.36,0.21,0.27,1.18,0.99
1059,79.64,3.82,0.16,0.38,14.86,1.67
1061,84.7,9.42,0.24,0.74,3.43,1.55
1063,17.27,81.25,0.17,0.12,0.76,0.48
1065,39.42,58.79,0.22,0.15,0.89,0.56
1067,67.8,28.41,0.26,0.31,2.25,1.02
1069,68.67,25.64,0.79,0.39,2.95,1.73
1071,90.06,3.33,0.31,1.28,2.52,2.59
1073,51.67,41.84,1.38,0.22,3.87,1.1
1075,86.12,11.23,0.03,0.16,1.24,1.26
1077,85.46,9.91,0.73,0.35,2.25,1.41
1079,76.94,11.41,0.12,5.61,1.67,4.3
1081,69.81,22.58,2.58,0.28,3.26,1.61
1083,78.65,12.5,1.1,0.59,5.55,1.77
1085,25.14,73.31,0.12,0.22,0.77,0.53
1087,15.23,82.19,0.35,0.13,1.08,1.06
1089,66.14,23.75,2.44,0.7,4.6,2.47
1091,45.69,51.54,0.25,0.15,1.67,0.78
1093,92.63,3.83,0.17,0.31,2.05,1.11
1095,83.92,1.49,0.51,0.61,12.08,1.68
1097,59.06,34.45,1.82,0.86,2.41,1.46
1099,54.71,41.53,0.29,1.11,0.95,1.45
1101,38.41,54.47,2.09,0.23,3.62,1.27
1103,77.48,11.77,0.56,0.78,7.66,1.98
1105,29.67,68.4,0.28,0.16,1.08,0.41
1107,55.84,41.37,0.16,0.14,1.59,1.17
